month ,day ,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price
jan,1,4010,,feb,1,3830,,march,1,3750,,april,1,4372,,may,1,,,june,1,,,july,1,,,august,1,,,sept,1,,,oct,1,4350,,nov,1,4321,,dec,1,4239
jan,2,4001,,feb,2,3875,,march,2,3750,,april,2,5350,,may,2,,,june,2,,,july,2,,,august,2,,,sept,2,,,oct,2,4400,,nov,2,4400,,dec,2,4225
jan,3,3975,,feb,3,3915,,march,3,3750,,april,3,5226,,may,3,,,june,3,,,july,3,,,august,3,,,sept,3,,,oct,3,4380,,nov,3,4421,,dec,3,4194
jan,4,3980,,feb,4,3924,,march,4,3475,,april,4,5501,,may,4,,,june,4,,,july,4,,,august,4,,,sept,4,,,oct,4,4450,,nov,4,4400,,dec,4,4240
jan,5,3969,,feb,5,3850,,march,5,3573,,april,5,5250,,may,5,,,june,5,,,july,5,,,august,5,,,sept,5,,,oct,5,4490,,nov,5,4399,,dec,5,4246
jan,6,4348,,feb,6,3848,,march,6,3851,,april,6,5551,,may,6,,,june,6,,,july,6,,,august,6,,,sept,6,,,oct,6,4554,,nov,6,4360,,dec,6,4250
jan,7,3996,,feb,7,3860,,march,7,3700,,april,7,4500,,may,7,,,june,7,,,july,7,,,august,7,,,sept,7,,,oct,7,4480,,nov,7,4280,,dec,7,4236
jan,8,4015,,feb,8,3885,,march,8,3911,,april,8,5171,,may,8,,,june,8,,,july,8,,,august,8,,,sept,8,,,oct,8,4455,,nov,8,4274,,dec,8,4251
jan,9,3937,,feb,9,3826,,march,9,3850,,april,9,4900,,may,9,,,june,9,,,july,9,,,august,9,,,sept,9,,,oct,9,4799,,nov,9,4088,,dec,9,4258
jan,10,4071,,feb,10,3711,,march,10,3911,,april,10,5300,,may,10,,,june,10,,,july,10,,,august,10,,,sept,10,,,oct,10,4490,,nov,10,4169,,dec,10,4266
jan,11,4027,,feb,11,3581,,march,11,3821,,april,11,4750,,may,11,,,june,11,,,july,11,,,august,11,,,sept,11,,,oct,11,4480,,nov,11,4225,,dec,11,4285
