month ,day ,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price
jan,19,4112,,feb,19,4450,,march,19,4425,,april,19,4850,,may,19,5275,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,
jan,20,4258,,feb,20,4450,,march,20,4425,,april,20,4800,,may,20,5375,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,
jan,1,5100,,feb,1,5300,,march,1,5300,,april,1,5400,,may,1,4525,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,
jan,2,5125,,feb,2,5300,,march,2,5300,,april,2,5300,,may,2,4537,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
jan,3,5300,,feb,3,5200,,march,3,5300,,april,3,5300,,may,3,4563,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,
jan,4,5300,,feb,4,5200,,march,4,5300,,april,4,5300,,may,4,4525,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,
jan,5,5300,,feb,5,5400,,march,5,5300,,april,5,5200,,may,5,4550,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,
jan,6,5350,,feb,6,5400,,march,6,5300,,april,6,5200,,may,6,4550,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,
jan,7,5400,,feb,7,5400,,march,7,5200,,april,7,5200,,may,7,4587,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,
jan,8,5400,,feb,8,5400,,march,8,5300,,april,8,5400,,may,8,4575,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,
jan,9,5400,,feb,9,5500,,march,9,5300,,april,9,5100,,may,9,4575,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,
jan,10,5400,,feb,10,5500,,march,10,5300,,april,10,5100,,may,10,4563,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,
jan,11,5400,,feb,11,5500,,march,11,5300,,april,11,5200,,may,11,4563,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,
jan,12,5400,,feb,12,5450,,march,12,5300,,april,12,5200,,may,12,4525,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,
jan,13,5300,,feb,13,5400,,march,13,5300,,april,13,5100,,may,13,4525,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,
jan,14,5100,,feb,14,5400,,march,14,5300,,april,14,5100,,may,14,4525,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,
jan,15,5125,,feb,15,5400,,march,15,5300,,april,15,5100,,may,15,4550,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,
jan,16,5300,,feb,16,5400,,march,16,5300,,april,16,5100,,may,16,4500,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,
jan,17,5300,,feb,17,5400,,march,17,5300,,april,17,5000,,may,17,4450,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,
jan,18,5300,,feb,18,5400,,march,18,5200,,april,18,5000,,may,18,4475,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,
jan,19,5350,,feb,19,5400,,march,19,5200,,april,19,5000,,may,19,4475,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,
jan,20,5300,,feb,20,5300,,march,20,5250,,april,20,5000,,may,20,4500,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,
jan,1,5000,,feb,1,4900,,march,1,4750,,april,1,4800,,may,1,4800,,,1,,,,1,,,,1,,,,1,,,,1,,,,1,
jan,2,5000,,feb,2,5100,,march,2,4750,,april,2,4800,,may,2,4800,,,2,,,,2,,,,2,,,,2,,,,2,,,,2,
jan,3,5000,,feb,3,5000,,march,3,4750,,april,3,4800,,may,3,4800,,,3,,,,3,,,,3,,,,3,,,,3,,,,3,
jan,4,5000,,feb,4,5000,,march,4,4700,,april,4,4800,,may,4,4500,,,4,,,,4,,,,4,,,,4,,,,4,,,,4,
jan,5,5000,,feb,5,4900,,march,5,4700,,april,5,4800,,may,5,4700,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,
jan,6,5000,,feb,6,4900,,march,6,4700,,april,6,4700,,may,6,4700,,,6,,,,6,,,,6,,,,6,,,,6,,,,6,
jan,7,4900,,feb,7,4900,,march,7,4700,,april,7,4900,,may,7,4500,,,7,,,,7,,,,7,,,,7,,,,7,,,,7,
jan,8,4900,,feb,8,4900,,march,8,4700,,april,8,4900,,may,8,4500,,,8,,,,8,,,,8,,,,8,,,,8,,,,8,
jan,9,4900,,feb,9,4900,,march,9,4700,,april,9,4900,,may,9,4500,,,9,,,,9,,,,9,,,,9,,,,9,,,,9,
jan,10,4900,,feb,10,4900,,march,10,4700,,april,10,4900,,may,10,4800,,,10,,,,10,,,,10,,,,10,,,,10,,,,10,
jan,11,4900,,feb,11,4900,,march,11,4700,,april,11,5000,,may,11,4500,,,11,,,,11,,,,11,,,,11,,,,11,,,,11,
jan,12,4900,,feb,12,4900,,march,12,4700,,april,12,4600,,may,12,4700,,,12,,,,12,,,,12,,,,12,,,,12,,,,12,
jan,13,4900,,feb,13,4900,,march,13,4700,,april,13,4600,,may,13,4800,,,13,,,,13,,,,13,,,,13,,,,13,,,,13,
jan,14,4950,,feb,14,4900,,march,14,4700,,april,14,5000,,may,14,4600,,,14,,,,14,,,,14,,,,14,,,,14,,,,14,
jan,15,4950,,feb,15,4900,,march,15,4700,,april,15,5000,,may,15,4800,,,15,,,,15,,,,15,,,,15,,,,15,,,,15,
jan,16,4950,,feb,16,4900,,march,16,4700,,april,16,5000,,may,16,4600,,,16,,,,16,,,,16,,,,16,,,,16,,,,16,
jan,17,4950,,feb,17,4900,,march,17,4700,,april,17,4800,,may,17,4800,,,17,,,,17,,,,17,,,,17,,,,17,,,,17,
jan,18,4900,,feb,18,4900,,march,18,4700,,april,18,4800,,may,18,4500,,,18,,,,18,,,,18,,,,18,,,,18,,,,18,
jan,19,4950,,feb,19,4750,,march,19,4700,,april,19,5000,,may,19,4800,,,19,,,,19,,,,19,,,,19,,,,19,,,,19,
jan,20,4900,,feb,20,4750,,march,20,4700,,april,20,5000,,may,20,4800,,,20,,,,20,,,,20,,,,20,,,,20,,,,20,
jan,1,5400,,feb,1,5550,,march,1,5400,,april,1,5800,,may,1,6300,,june,1,,,,1,,,,1,,,,1,,,,1,,,,1,
jan,2,5500,,feb,2,5500,,march,2,5400,,april,2,5800,,may,2,6400,,june,2,,,,2,,,,2,,,,2,,,,2,,,,2,
jan,3,5500,,feb,3,5550,,march,3,5400,,april,3,5900,,may,3,6300,,june,3,,,,3,,,,3,,,,3,,,,3,,,,3,
jan,4,5600,,feb,4,5550,,march,4,5400,,april,4,5900,,may,4,6300,,june,4,,,,4,,,,4,,,,4,,,,4,,,,4,
jan,5,5500,,feb,5,5550,,march,5,5400,,april,5,5900,,may,5,6400,,june,5,,,,5,,,,5,,,,5,,,,5,,,,5,
jan,6,5600,,feb,6,5500,,march,6,1900,,april,6,5800,,may,6,6400,,june,6,,,,6,,,,6,,,,6,,,,6,,,,6,
jan,7,5600,,feb,7,5400,,march,7,5400,,april,7,5900,,may,7,6300,,june,7,,,,7,,,,7,,,,7,,,,7,,,,7,
jan,8,5600,,feb,8,5400,,march,8,5400,,april,8,5900,,may,8,6400,,june,8,,,,8,,,,8,,,,8,,,,8,,,,8,
jan,9,5600,,feb,9,5400,,march,9,5400,,april,9,5900,,may,9,6300,,june,9,,,,9,,,,9,,,,9,,,,9,,,,9,
jan,10,5600,,feb,10,5400,,march,10,5400,,april,10,6200,,may,10,6300,,june,10,,,,10,,,,10,,,,10,,,,10,,,,10,
jan,11,5600,,feb,11,5400,,march,11,5450,,april,11,6300,,may,11,6300,,june,11,,,,11,,,,11,,,,11,,,,11,,,,11,
jan,12,5600,,feb,12,5400,,march,12,5500,,april,12,6300,,may,12,6300,,june,12,,,,12,,,,12,,,,12,,,,12,,,,12,
jan,13,5600,,feb,13,5300,,march,13,5600,,april,13,5900,,may,13,6300,,june,13,,,,13,,,,13,,,,13,,,,13,,,,13,
jan,14,5600,,feb,14,5400,,march,14,5700,,april,14,6300,,may,14,6300,,june,14,,,,14,,,,14,,,,14,,,,14,,,,14,
jan,15,5600,,feb,15,5400,,march,15,5700,,april,15,6400,,may,15,6300,,june,15,,,,15,,,,15,,,,15,,,,15,,,,15,
jan,16,5600,,feb,16,5400,,march,16,5700,,april,16,6200,,may,16,6300,,june,16,,,,16,,,,16,,,,16,,,,16,,,,16,
jan,17,5600,,feb,17,5350,,march,17,5700,,april,17,6300,,may,17,6300,,june,17,,,,17,,,,17,,,,17,,,,17,,,,17,
jan,18,5600,,feb,18,5400,,march,18,5700,,april,18,6300,,may,18,6300,,june,18,,,,18,,,,18,,,,18,,,,18,,,,18,
jan,19,5550,,feb,19,5350,,march,19,5700,,april,19,6300,,may,19,6300,,june,19,,,,19,,,,19,,,,19,,,,19,,,,19,
jan,20,5550,,feb,20,5300,,march,20,5700,,april,20,6300,,may,20,6300,,june,20,,,,20,,,,20,,,,20,,,,20,,,,20,
