month ,day ,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price,,month,day,price
jan,1,4350,,feb,1,4110,,march,1,4060,,april,1,,,may,1,,,june,1,,,july,1,,,august,1,,,sept,1,4420,,oct,1,4540,,nov,1,4400,,dec,1,4350
jan,2,4240,,feb,2,4030,,march,2,4080,,april,2,,,may,2,,,june,2,,,july,2,,,august,2,,,sept,2,4380,,oct,2,4470,,nov,2,4350,,dec,2,4370
jan,3,4230,,feb,3,4160,,march,3,4080,,april,3,,,may,3,,,june,3,,,july,3,,,august,3,,,sept,3,4300,,oct,3,4650,,nov,3,4470,,dec,3,4360
jan,4,4350,,feb,4,4170,,march,4,4070,,april,4,,,may,4,,,june,4,,,july,4,,,august,4,,,sept,4,4350,,oct,4,4540,,nov,4,4450,,dec,4,4360
jan,5,4350,,feb,5,4050,,march,5,4080,,april,5,,,may,5,,,june,5,,,july,5,,,august,5,,,sept,5,4350,,oct,5,4460,,nov,5,4300,,dec,5,4360
jan,6,4340,,feb,6,4070,,march,6,4100,,april,6,,,may,6,,,june,6,,,july,6,,,august,6,,,sept,6,4450,,oct,6,4440,,nov,6,4260,,dec,6,4370
jan,7,4340,,feb,7,4050,,march,7,4170,,april,7,,,may,7,,,june,7,,,july,7,,,august,7,,,sept,7,4420,,oct,7,4340,,nov,7,4260,,dec,7,4370
jan,8,4370,,feb,8,3970,,march,8,4180,,april,8,,,may,8,,,june,8,,,july,8,,,august,8,,,sept,8,4400,,oct,8,4120,,nov,8,4250,,dec,8,4370
jan,9,4300,,feb,9,4050,,march,9,4170,,april,9,,,may,9,,,june,9,,,july,9,,,august,9,,,sept,9,4450,,oct,9,4450,,nov,9,4340,,dec,9,4450
jan,10,4280,,feb,10,4080,,march,10,4230,,april,10,,,may,10,,,june,10,,,july,10,,,august,10,,,sept,10,4440,,oct,10,4450,,nov,10,4340,,dec,10,4650
jan,11,4240,,feb,11,4080,,march,11,4260,,april,11,,,may,11,,,june,11,,,july,11,,,august,11,,,sept,11,4460,,oct,11,4450,,nov,11,4325,,dec,11,4650
jan,12,4320,,feb,12,4110,,march,12,4270,,april,12,,,may,12,,,june,12,,,july,12,,,august,12,,,sept,12,4550,,oct,12,4500,,nov,12,4300,,dec,12,4550
jan,13,4340,,feb,13,4100,,march,13,4250,,april,13,,,may,13,,,june,13,,,july,13,,,august,13,,,sept,13,4680,,oct,13,4550,,nov,13,4400,,dec,13,4600
jan,14,4270,,feb,14,4100,,march,14,4300,,april,14,,,may,14,,,june,14,,,july,14,,,august,14,,,sept,14,4630,,oct,14,4600,,nov,14,4350,,dec,14,4700
jan,15,4150,,feb,15,4100,,march,15,4250,,april,15,,,may,15,,,june,15,,,july,15,,,august,15,,,sept,15,4660,,oct,15,4560,,nov,15,4470,,dec,15,4800
jan,16,4080,,feb,16,4100,,march,16,4350,,april,16,,,may,16,,,june,16,,,july,16,,,august,16,,,sept,16,4660,,oct,16,4540,,nov,16,4450,,dec,16,4770
jan,17,4110,,feb,17,4150,,march,17,4440,,april,17,,,may,17,,,june,17,,,july,17,,,august,17,,,sept,17,4470,,oct,17,4450,,nov,17,4300,,dec,17,4370
jan,18,4040,,feb,18,4040,,march,18,4430,,april,18,,,may,18,,,june,18,,,july,18,,,august,18,,,sept,18,4450,,oct,18,4570,,nov,18,4260,,dec,18,4450
jan,19,3940,,feb,19,4050,,march,19,4430,,april,19,,,may,19,,,june,19,,,july,19,,,august,19,,,sept,19,4330,,oct,19,4620,,nov,19,4260,,dec,19,4650
jan,20,4000,,feb,20,4100,,march,20,4480,,april,20,,,may,20,,,june,20,,,july,20,,,august,20,,,sept,20,4400,,oct,20,4420,,nov,20,4250,,dec,20,4650
jan,1,4870,,feb,1,4560,,march,1,4670,,april,1,,,may,1,,,june,1,,,july,1,,,august,1,,,sept,1,5300,,oct,1,5000,,nov,1,5090,,dec,1,5150
jan,2,4880,,feb,2,4550,,march,2,4550,,april,2,,,may,2,,,june,2,,,july,2,,,august,2,,,sept,2,5500,,oct,2,5050,,nov,2,5100,,dec,2,5150
jan,3,4850,,feb,3,4650,,march,3,4670,,april,3,,,may,3,,,june,3,,,july,3,,,august,3,,,sept,3,5330,,oct,3,4960,,nov,3,5050,,dec,3,5160
jan,4,4750,,feb,4,4590,,march,4,4660,,april,4,,,may,4,,,june,4,,,july,4,,,august,4,,,sept,4,5330,,oct,4,4980,,nov,4,5070,,dec,4,5180
jan,5,4700,,feb,5,4550,,march,5,4660,,april,5,,,may,5,,,june,5,,,july,5,,,august,5,,,sept,5,5200,,oct,5,4800,,nov,5,5050,,dec,5,5190
jan,6,4750,,feb,6,4470,,march,6,4640,,april,6,,,may,6,,,june,6,,,july,6,,,august,6,,,sept,6,5200,,oct,6,4900,,nov,6,5050,,dec,6,5030
jan,7,4750,,feb,7,4520,,march,7,4650,,april,7,,,may,7,,,june,7,,,july,7,,,august,7,,,sept,7,5340,,oct,7,4900,,nov,7,5090,,dec,7,5110
jan,8,4725,,feb,8,4410,,march,8,4700,,april,8,,,may,8,,,june,8,,,july,8,,,august,8,,,sept,8,5300,,oct,8,5060,,nov,8,5110,,dec,8,5060
jan,9,4730,,feb,9,4540,,march,9,4680,,april,9,,,may,9,,,june,9,,,july,9,,,august,9,,,sept,9,5310,,oct,9,5100,,nov,9,5160,,dec,9,5100
jan,10,4710,,feb,10,4460,,march,10,4700,,april,10,,,may,10,,,june,10,,,july,10,,,august,10,,,sept,10,5120,,oct,10,4950,,nov,10,5260,,dec,10,5110
jan,11,4650,,feb,11,4340,,march,11,4520,,april,11,,,may,11,,,june,11,,,july,11,,,august,11,,,sept,11,5160,,oct,11,5030,,nov,11,5300,,dec,11,5260
jan,12,4500,,feb,12,4640,,march,12,4560,,april,12,,,may,12,,,june,12,,,july,12,,,august,12,,,sept,12,5300,,oct,12,5080,,nov,12,5360,,dec,12,5260
jan,13,4760,,feb,13,4700,,march,13,4520,,april,13,,,may,13,,,june,13,,,july,13,,,august,13,,,sept,13,5500,,oct,13,4970,,nov,13,5320,,dec,13,5220
jan,14,4750,,feb,14,4470,,march,14,4420,,april,14,,,may,14,,,june,14,,,july,14,,,august,14,,,sept,14,5330,,oct,14,4920,,nov,14,5180,,dec,14,5180
jan,15,4810,,feb,15,4400,,march,15,4600,,april,15,,,may,15,,,june,15,,,july,15,,,august,15,,,sept,15,5330,,oct,15,5000,,nov,15,5150,,dec,15,5130
jan,16,4760,,feb,16,4670,,march,16,4530,,april,16,,,may,16,,,june,16,,,july,16,,,august,16,,,sept,16,5200,,oct,16,5030,,nov,16,5170,,dec,16,5180
